Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"2023-03-14T02:52:15",36.978,37.466,7.03,0.37,"ML",1.2,"Dulkadiroğlu (Kahramanmaraş)",562563
"2023-03-14T02:49:42",35.952,36.141,8.02,0.58,"ML",2.8,"Samandağ (Hatay)",562562
"2023-03-14T02:45:03",37.274,37.565,10.92,0.41,"ML",2.5,"Pazarcık (Kahramanmaraş)",562561
"2023-03-14T02:40:44",38.42,38.025,7.27,0.24,"ML",2.3,"Çelikhan (Adıyaman)",562578
"2023-03-14T02:33:00",36.176,36.784,7,0.62,"ML",2.4,"Akdeniz - İskenderun Körfezi - [03.70 km] Payas (Hatay)",562576
"2023-03-14T02:27:52",38.552,38.139,7.03,0.32,"MW",3.9,"Sincik (Adıyaman)",562573
"2023-03-14T02:17:48",26.984,35.598,8.83,0.79,"ML",2.4,"Ege Denizi - [128.65 km] Datça (Muğla)",562575
"2023-03-14T02:13:42",36.267,37.923,6.93,0.26,"ML",2.4,"Saimbeyli (Adana)",562558
"2023-03-14T02:11:16",38.26,37.609,6.97,0.29,"ML",1.3,"Atatürk Barajı - [02.47 km] Merkez (Adıyaman)",562559
"2023-03-14T01:58:17",38.226,38.219,6.99,0.38,"ML",1.8,"Yeşilyurt (Malatya)",562555
"2023-03-14T01:56:39",38.532,38.123,7.04,0.58,"ML",1.4,"Sincik (Adıyaman)",562554
"2023-03-14T01:51:56",39.508,38.531,6.97,0.3,"ML",2.4,"Maden (Elazığ)",562553
"2023-03-14T01:48:17",42.327,39.987,7.04,0.6,"ML",1.7,"Horasan (Erzurum)",562557
"2023-03-14T01:45:48",37.119,38.076,7.07,0.42,"ML",1.9,"Ekinözü (Kahramanmaraş)",562556
"2023-03-14T01:42:42",38.703,38.181,7,0.29,"ML",1.2,"Pütürge (Malatya)",562552
"2023-03-14T01:39:51",38.198,38.119,7,0.41,"ML",2.4,"Çelikhan (Adıyaman)",562551
"2023-03-14T01:33:39",36.421,37.797,7,0.56,"ML",2.8,"Andırın (Kahramanmaraş)",562550
"2023-03-14T01:32:54",36.56,37.82,7.02,0.53,"ML",2.3,"Onikişubat (Kahramanmaraş)",562549
"2023-03-14T01:25:56",37.734,38.039,7.01,0.67,"ML",2.3,"Doğanşehir (Malatya)",562548
"2023-03-14T01:13:30",36.47,37.268,7,0.69,"ML",1.6,"Düziçi (Osmaniye)",562546
"2023-03-14T01:12:08",36.32,37.821,7,0.53,"ML",1.7,"Andırın (Kahramanmaraş)",562547
"2023-03-14T01:11:40",36.903,37.402,11.22,0.27,"ML",1.4,"Türkoğlu (Kahramanmaraş)",562545
"2023-03-14T01:06:20",36.933,37.418,8.49,0.44,"ML",1.5,"Türkoğlu (Kahramanmaraş)",562543
"2023-03-14T01:04:11",36.192,37.26,7,0.55,"ML",1.2,"Kadirli (Osmaniye)",562544
"2023-03-14T00:59:01",36.277,36.461,7,0.52,"ML",1.6,"Belen (Hatay)",562542
"2023-03-14T00:54:13",36.806,37.279,7.01,0.59,"ML",1.4,"Türkoğlu (Kahramanmaraş)",562540
"2023-03-14T00:47:58",37.835,37.872,12.3,0.55,"ML",2.1,"Gölbaşı (Adıyaman)",562532
"2023-03-14T00:46:21",44.057,38.101,7,0.22,"ML",1,"Başkale (Van)",562541
"2023-03-14T00:46:03",36.545,36.921,6.54,0.58,"ML",1.5,"İslahiye (Gaziantep)",562536
"2023-03-14T00:41:19",37.022,37.302,7.06,0.23,"ML",2.2,"Türkoğlu (Kahramanmaraş)",562538
"2023-03-14T00:37:00",36.268,36.492,7.02,0.06,"ML",2.8,"Belen (Hatay)",562537
"2023-03-14T00:34:31",36.603,38.02,7.06,0.47,"ML",2.3,"Göksun (Kahramanmaraş)",562539
"2023-03-14T00:26:14",38.349,38.069,7,0.21,"ML",2.5,"Çelikhan (Adıyaman)",562535
"2023-03-14T00:25:28",38.354,38.077,7.11,0.38,"ML",3.1,"Çelikhan (Adıyaman)",562534
"2023-03-14T00:24:40",38.521,38.161,6.99,0.18,"ML",2.7,"Battalgazi (Malatya)",562533
"2023-03-14T00:18:26",36.383,36.614,7.03,0.18,"ML",2.2,"Kırıkhan (Hatay)",562530
"2023-03-14T00:17:22",37.734,37.778,7,0.26,"ML",2.3,"Gölbaşı (Adıyaman)",562531
"2023-03-14T00:11:22",36.963,37.186,6.99,0.09,"ML",2,"Nurdağı (Gaziantep)",562529
"2023-03-14T00:08:02",37.822,37.874,8.65,0.38,"ML",2.1,"Gölbaşı (Adıyaman)",562528
